"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"e60a57c3-d8b3-4e38-b3b7-e8abc6f33d63"	"2024-02-29T23:26:53+00:00"	"2.5"	"42328"	"29368"	"27912"	"15000"	"0.812"	"0.778"	"1.904"	"2.034"	"-5000"	"-5000"	"-51225"	"-58183"
"e60a57c3-d8b3-4e38-b3b7-e8abc6f33d63"	"2024-02-29T23:26:53+00:00"	"50"	"42912"	"28744"	"26360"	"15000"	"0.786"	"0.731"	"1.91"	"2.04"	"-5000"	"-5000"	"-53218"	"-61180"
"e60a57c3-d8b3-4e38-b3b7-e8abc6f33d63"	"2024-02-29T23:26:53+00:00"	"97.5"	"43496"	"28120"	"24808"	"15000"	"0.761"	"0.685"	"1.915"	"2.047"	"-5000"	"-5000"	"-55175"	"-64228"
"84f07e43-30a7-4262-82e2-f16a0c32d716"	"2024-02-29T23:26:54+00:00"	"2.5"	"42028"	"13840"	"14416"	"15000"	"0.448"	"0.462"	"1.904"	"2.034"	"-5000"	"-5000"	"-66181"	"-71069"
"84f07e43-30a7-4262-82e2-f16a0c32d716"	"2024-02-29T23:26:54+00:00"	"50"	"42640"	"13024"	"12928"	"15000"	"0.423"	"0.42"	"1.91"	"2.04"	"-5000"	"-5000"	"-68418"	"-74058"
"84f07e43-30a7-4262-82e2-f16a0c32d716"	"2024-02-29T23:26:54+00:00"	"97.5"	"43252"	"12208"	"11440"	"15000"	"0.398"	"0.38"	"1.915"	"2.047"	"-5000"	"-5000"	"-70620"	"-77097"
"7324d2f4-941b-49d1-b806-786f2549fbe9"	"2024-02-29T23:26:54+00:00"	"2.5"	"47808"	"13096"	"14768"	"15000"	"0.379"	"0.413"	"1.904"	"2.034"	"-5000"	"-5000"	"-77930"	"-82473"
"7324d2f4-941b-49d1-b806-786f2549fbe9"	"2024-02-29T23:26:54+00:00"	"50"	"48336"	"12360"	"12960"	"15000"	"0.359"	"0.372"	"1.91"	"2.04"	"-5000"	"-5000"	"-79962"	"-85645"
"7324d2f4-941b-49d1-b806-786f2549fbe9"	"2024-02-29T23:26:54+00:00"	"97.5"	"48864"	"11624"	"11152"	"15000"	"0.34"	"0.331"	"1.915"	"2.047"	"-5000"	"-5000"	"-81951"	"-88873"
"9486b779-c0b3-4d20-bc79-9bc82f620e95"	"2024-02-29T23:26:54+00:00"	"2.5"	"51096"	"16432"	"18904"	"15000"	"0.419"	"0.468"	"1.904"	"2.034"	"-5000"	"-5000"	"-80855"	"-85025"
"9486b779-c0b3-4d20-bc79-9bc82f620e95"	"2024-02-29T23:26:54+00:00"	"50"	"51584"	"15744"	"17440"	"15000"	"0.402"	"0.435"	"1.91"	"2.04"	"-5000"	"-5000"	"-82781"	"-87791"
"9486b779-c0b3-4d20-bc79-9bc82f620e95"	"2024-02-29T23:26:54+00:00"	"97.5"	"52072"	"15056"	"15976"	"15000"	"0.385"	"0.403"	"1.915"	"2.047"	"-5000"	"-5000"	"-84662"	"-90615"
"f3dddfad-a4b9-4c57-8474-522b22e0939f"	"2024-02-29T23:26:54+00:00"	"2.5"	"50918"	"19900"	"24142"	"15000"	"0.489"	"0.572"	"1.904"	"2.034"	"-5000"	"-5000"	"-77048"	"-79425"
"f3dddfad-a4b9-4c57-8474-522b22e0939f"	"2024-02-29T23:26:54+00:00"	"50"	"51384"	"19152"	"23020"	"15000"	"0.47"	"0.545"	"1.91"	"2.04"	"-5000"	"-5000"	"-78991"	"-81803"
"f3dddfad-a4b9-4c57-8474-522b22e0939f"	"2024-02-29T23:26:54+00:00"	"97.5"	"51850"	"18404"	"21898"	"15000"	"0.451"	"0.519"	"1.915"	"2.047"	"-5000"	"-5000"	"-80889"	"-84239"
"18939db2-6423-4238-9a51-a5211f408720"	"2024-02-29T23:26:55+00:00"	"2.5"	"49420"	"18720"	"24384"	"15000"	"0.48"	"0.595"	"1.904"	"2.034"	"-5000"	"-5000"	"-75376"	"-76136"
"18939db2-6423-4238-9a51-a5211f408720"	"2024-02-29T23:26:55+00:00"	"50"	"49864"	"17848"	"22936"	"15000"	"0.458"	"0.56"	"1.91"	"2.04"	"-5000"	"-5000"	"-77392"	"-78787"
"18939db2-6423-4238-9a51-a5211f408720"	"2024-02-29T23:26:55+00:00"	"97.5"	"50308"	"16976"	"21488"	"15000"	"0.437"	"0.527"	"1.915"	"2.047"	"-5000"	"-5000"	"-79364"	"-81492"
"c574b113-81c7-40d4-8da3-11da79060049"	"2024-02-29T23:26:55+00:00"	"2.5"	"50508"	"21136"	"28250"	"15000"	"0.517"	"0.658"	"1.904"	"2.034"	"-5000"	"-5000"	"-75031"	"-74483"
"c574b113-81c7-40d4-8da3-11da79060049"	"2024-02-29T23:26:55+00:00"	"50"	"51116"	"19552"	"26236"	"15000"	"0.48"	"0.611"	"1.91"	"2.04"	"-5000"	"-5000"	"-78080"	"-78041"
"c574b113-81c7-40d4-8da3-11da79060049"	"2024-02-29T23:26:55+00:00"	"97.5"	"51724"	"17968"	"24222"	"15000"	"0.444"	"0.565"	"1.915"	"2.047"	"-5000"	"-5000"	"-81083"	"-81657"
"ab090df1-3659-40ed-b925-46cf2633ace2"	"2024-02-29T23:26:55+00:00"	"2.5"	"50408"	"21414"	"25768"	"15000"	"0.524"	"0.61"	"1.904"	"2.034"	"-5000"	"-5000"	"-74563"	"-76762"
"ab090df1-3659-40ed-b925-46cf2633ace2"	"2024-02-29T23:26:55+00:00"	"50"	"50944"	"20016"	"24224"	"15000"	"0.491"	"0.574"	"1.91"	"2.04"	"-5000"	"-5000"	"-77287"	"-79702"
"ab090df1-3659-40ed-b925-46cf2633ace2"	"2024-02-29T23:26:55+00:00"	"97.5"	"51480"	"18618"	"22680"	"15000"	"0.459"	"0.538"	"1.915"	"2.047"	"-5000"	"-5000"	"-79966"	"-82700"
"b9f61218-9ea7-4ddb-a58d-77596f651a01"	"2024-02-29T23:26:55+00:00"	"2.5"	"50248"	"24378"	"27552"	"15000"	"0.585"	"0.648"	"1.904"	"2.034"	"-5000"	"-5000"	"-71294"	"-74652"
"b9f61218-9ea7-4ddb-a58d-77596f651a01"	"2024-02-29T23:26:55+00:00"	"50"	"50744"	"23496"	"26480"	"15000"	"0.562"	"0.62"	"1.91"	"2.04"	"-5000"	"-5000"	"-73425"	"-77038"
"b9f61218-9ea7-4ddb-a58d-77596f651a01"	"2024-02-29T23:26:55+00:00"	"97.5"	"51240"	"22614"	"25408"	"15000"	"0.539"	"0.593"	"1.915"	"2.047"	"-5000"	"-5000"	"-75511"	"-79480"
"96c9d911-56ed-43ff-a276-ac5e5e3e60de"	"2024-02-29T23:26:55+00:00"	"2.5"	"51100"	"16124"	"19064"	"15000"	"0.413"	"0.471"	"1.904"	"2.034"	"-5000"	"-5000"	"-81170"	"-84873"
"96c9d911-56ed-43ff-a276-ac5e5e3e60de"	"2024-02-29T23:26:55+00:00"	"50"	"51532"	"15500"	"17456"	"15000"	"0.398"	"0.436"	"1.91"	"2.04"	"-5000"	"-5000"	"-82926"	"-87669"
"96c9d911-56ed-43ff-a276-ac5e5e3e60de"	"2024-02-29T23:26:55+00:00"	"97.5"	"51964"	"14876"	"15848"	"15000"	"0.382"	"0.401"	"1.915"	"2.047"	"-5000"	"-5000"	"-84635"	"-90522"
